name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
"Unnamed (-38.0859, 145.4718)",-38.0859264,145.471757,"McGregor Road, Pakenham, Melbourne, Shire of Cardinia, Victoria, 3810, Australia",,,,,,
"Unnamed (-37.8965, 144.7511)",-37.8964892,144.751125,"Kirkstone Road, St Andrews, Point Cook, Melbourne, City of Wyndham, Victoria, 3030, Australia",,,,,,
Autocare Hand Car Wash,-37.8417208,144.8832776,"Autocare Hand Car Wash, Melbourne Road, Newport, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia",,,,,,
"Unnamed (-37.8117, 144.8717)",-37.8117258,144.8717399,"Somerville Road, Kingsville, Melbourne, City of Maribyrnong, Victoria, 3012, Australia",,,,,,
Automatic Car Wash,-37.9452705,145.1538556,"Springvale Road, Springvale, Melbourne, City of Greater Dandenong, Victoria, 3171, Australia",,,,,,
"Unnamed (-37.9450, 145.1540)",-37.9450004,145.1539768,"Rosalie Street, Springvale, Melbourne, City of Greater Dandenong, Victoria, 3171, Australia",,,,,,
"Unnamed (-37.8491, 144.8449)",-37.8491403,144.8448524,"Millers Road, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia",,,,,,
Soakers,-37.711302,145.0081811,"Soakers, 939, High Street, Ruthven, Reservoir, Melbourne, City of Darebin, Victoria, 3073, Australia",,,,24/7,,
Prestige Hand Carwash,-37.7889387,144.9403156,"18-42, Racecourse Road, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia",,,,,,
Auto Carwash,-37.6065744,145.1371519,"Auto Carwash, Yellow Brick Road, Doreen, Melbourne, City of Whittlesea, Victoria, 3754, Australia",,,,,,
Baywash Craigieburn,-37.5988898,144.9427654,"Baywash Craigieburn, Craigieburn Road, Craigieburn, Melbourne, City of Hume, Victoria, 3064, Australia",,,,,,
Art Detailing,-37.7581773,145.0010419,"Art Detailing, 700, High Street, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",,,,,,
Clearwater Carwash,-37.7615971,145.0003962,"Clearwater Carwash, 600, High Street, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",https://www.clearwatercarwash.com.au/,,,,,
"Unnamed (-37.9067, 145.3428)",-37.9066675,145.3427844,"Burwood Highway, Tecoma, Melbourne, Shire of Yarra Ranges, Victoria, 3160, Australia",,,,,,
Eco Wash,-37.7619865,145.312314,"Eco Wash, Fletcher Road, Chirnside Park, Melbourne, Shire of Yarra Ranges, Victoria, 3116, Australia",,,,24/7,,
"Unnamed (-37.8684, 145.0603)",-37.8683649,145.0602849,"1891-1899, Malvern Road, Malvern East, Melbourne, City of Stonnington, Victoria, 3145, Australia",,,,Mo-Su 07:00-22:00,,
Vacuum Bays,-38.0853619,145.2947075,"Vacuum Bays, Aleppo Place, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
"Unnamed (-37.8461, 145.2266)",-37.8460804,145.2265853,"Ashley Street, Wantirna, Melbourne, City of Knox, Victoria, 3152, Australia",,,,,,
"Unnamed (-37.6953, 145.0225)",-37.6952728,145.0224745,"Dalton Road, Keon Park, Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia",,,,,,
"Unnamed (-37.6951, 145.0224)",-37.695095,145.0224053,"St Georges Road Trail, Keon Park, Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia",,,,,,
"Unnamed (-37.6856, 144.9244)",-37.6855848,144.9243919,"382, Camp Road, Broadmeadows, Melbourne, City of Hume, Victoria, 3047, Australia",,,,,,
"Unnamed (-37.6922, 145.0264)",-37.6922406,145.0264307,"Thomastown Trash and Treasure Market, Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia",,,,,,
"Unnamed (-37.6446, 144.9302)",-37.6445958,144.9302418,"Pascoe Vale Road, Coolaroo, Melbourne, City of Hume, Victoria, 3048, Australia",,,,,,
"Unnamed (-37.9109, 145.2758)",-37.9108919,145.2758171,"Lakesfield Drive, Lakesfield, Lysterfield, Melbourne, City of Knox, Victoria, 3178, Australia",,,,,,
BP,-37.9138197,145.2132657,"Inbound EastLink Service Centre, Service Centre Offramp, Scoresby, Melbourne, City of Knox, Victoria, 3179, Australia",,,,,BP,BP
Magic Hand Car Wash,-38.0693305,145.2992252,"Casey Central, 400, Cranbourne Road, Narre Warren South, Melbourne, City of Casey, Victoria, 3805, Australia",,,,,Magic Hand Car Wash,Magic Hand Car Wash
Soft Wash,-37.661755,145.0539658,"7-Eleven, Morang Drive, Mill Park, Melbourne, City of Whittlesea, Victoria, 3032, Australia",,,,,,
Magic Hand Car Wash & Cafe,-37.8596553,145.0603706,"Magic Hand Car Wash & Cafe, High Street, Glen Iris, Melbourne, City of Stonnington, Victoria, 3146, Australia",,,,,,
"Unnamed (-37.8886, 145.0375)",-37.8885765,145.0374733,"1049, Glen Huntly Road, Caulfield, Melbourne, City of Glen Eira, Victoria, 3162, Australia",,,,,,
Car Wash,-37.7529663,145.0564377,"Car Wash, Thames Street, Heidelberg Heights, Melbourne, City of Banyule, Victoria, 3081, Australia",,,,,Dayef,
"Unnamed (-37.8908, 145.2999)",-37.8908149,145.2999312,"Ferny Creek Trail, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
Washed Camberwell,-37.8352733,145.0617871,"Washed Camberwell, Crescent Road, Camberwell, Melbourne, City of Boroondara, Victoria, 3124, Australia",,,,,,
"Unnamed (-37.8184, 145.3179)",-37.8184157,145.3178571,"Canterbury Road, Kilsyth, Melbourne, Shire of Yarra Ranges, Victoria, 3137, Australia",,,,,,
"Unnamed (-38.1325, 145.1253)",-38.1325456,145.1252703,"Ampol, Nepean Highway, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
